noise_level,rep,cycles,instructions,l2d_cache,l2d_cache_refill,l2d_cache_wb,cache-references,cache-misses
1,1,36865227,23334290,825591,78899,15179,8016961,121431
1,2,35429796,23872140,841261,56781,12338,8212710,121118
1,3,34417352,23364029,813731,53463,11937,8032446,116086
1,4,34048711,23087073,802297,54444,12098,7931669,115129
1,5,34215972,23312034,799751,53583,11989,8006102,114660
1,6,34155525,23258396,803447,52919,11837,7987211,116562
1,7,34270345,23217628,797725,55224,12255,7971434,115554
1,8,33865748,23131183,781858,53333,11803,7937382,111370
1,9,33980230,23337344,797308,50971,11801,8015133,113518
1,10,34903400,23899073,819451,51485,11444,8222357,113491
5,1,53659792,23609475,833170,239482,58844,8113294,123034
5,2,53728760,23893426,827332,236442,56463,8217770,117140
5,3,54448174,23965818,848423,243644,59073,8239546,124611
5,4,53139594,23230493,827037,241615,59796,7977911,123895
5,5,52841035,23120696,811301,237593,58888,7943711,120616
5,6,53595056,23266688,817880,242067,60093,7985547,123074
5,7,54498926,23728518,829817,246494,59737,8142860,126315
5,8,52747771,23266125,809424,234826,56759,7982772,120262
5,9,53576511,23418947,819487,241650,59222,8043253,118599
5,10,52847905,23459982,820521,234710,57323,8057910,122730
10,1,53473720,23403154,807106,240214,58333,8033779,118864
10,2,54146407,23795747,831308,243851,61152,8176301,119262
10,3,53305129,23464702,817919,236489,57581,8059659,118951
10,4,53874749,23292668,836653,245801,60658,7989425,130150
10,5,54167060,23631506,841144,243799,60618,8118213,125945
10,6,53540998,23620123,796987,238064,57218,8108410,116382
10,7,53310916,23256046,812856,239775,57742,7987247,120820
10,8,53343963,23313006,813406,242576,60454,8004767,118286
10,9,52994406,23778093,827634,232141,57862,8182919,115070
10,10,53786093,24049650,840826,236800,57978,8270266,119187
100,1,54291686,23536497,826703,241669,59920,8079984,122779
100,2,54196321,23832142,813733,238877,60928,8186101,119549
100,3,54190384,23944944,836205,242459,58113,8226226,122402
100,4,53787954,23469140,829211,241366,59578,8060328,121547
100,5,54577505,23819362,833582,243809,60911,8182565,122825
100,6,53541291,23469229,829905,242114,59817,8060514,123848
100,7,53759417,23467212,821651,241051,62242,8058100,122559
100,8,54659034,23624905,834003,242045,59878,8112393,126151
100,9,53722764,23773886,826002,236774,59279,8173583,115333
100,10,53473194,23576473,825693,237368,58255,8098219,122490
