noise_level,rep,cycles,instructions,l2d_cache,l2d_cache_refill,l2d_cache_wb,cache-references,cache-misses
1,1,NA,NA,NA,NA,NA,NA,NA
1,1,36865227,23334290,825591,78899,15179,8016961,121431
1,2,NA,NA,NA,NA,NA,NA,NA
1,2,35429796,23872140,841261,56781,12338,8212710,121118
1,3,NA,NA,NA,NA,NA,NA,NA
1,3,34417352,23364029,813731,53463,11937,8032446,116086
1,4,NA,NA,NA,NA,NA,NA,NA
1,4,34048711,23087073,802297,54444,12098,7931669,115129
1,5,NA,NA,NA,NA,NA,NA,NA
1,5,34215972,23312034,799751,53583,11989,8006102,114660
1,6,NA,NA,NA,NA,NA,NA,NA
1,6,34155525,23258396,803447,52919,11837,7987211,116562
1,7,NA,NA,NA,NA,NA,NA,NA
1,7,34270345,23217628,797725,55224,12255,7971434,115554
1,8,NA,NA,NA,NA,NA,NA,NA
1,8,33865748,23131183,781858,53333,11803,7937382,111370
1,9,NA,NA,NA,NA,NA,NA,NA
1,9,33980230,23337344,797308,50971,11801,8015133,113518
1,10,NA,NA,NA,NA,NA,NA,NA
1,10,34903400,23899073,819451,51485,11444,8222357,113491
