╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffffa0d07000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    139 ns  (line already in cache)
[attacker]   DRAM miss     =   2334 ns  (line not in cache)
[attacker]   Threshold     =   1236 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2239        miss      0 hits so far  (warmup)
  2       2708        miss      0 hits so far  (warmup)
  3       2760        miss      0 hits so far  (warmup)
  4       3385        miss      0 hits so far  (warmup)
  5       2083        miss      0 hits so far  (warmup)
  6       2135        miss      0 hits so far  (warmup)
  7       1718        miss      0 hits so far  (warmup)
  8       1302        miss      0 hits so far  (warmup)
  9       2239        miss      0 hits so far  (warmup)
  10      1250        miss      0 hits so far  (warmup)
  11      1822        miss      0 hits so far
  12      1145        HIT ◄   1 hits so far
  13      1302        miss      1 hits so far
  14      2239        miss      1 hits so far
  15      2031        miss      1 hits so far
  16      1562        miss      1 hits so far
  17      2395        miss      1 hits so far
  18      3385        miss      1 hits so far
  19      2656        miss      1 hits so far
  20      1406        miss      1 hits so far
  21      1406        miss      1 hits so far
  22      1458        miss      1 hits so far
  23      1979        miss      1 hits so far
  24      1145        HIT ◄   2 hits so far
  25      2447        miss      2 hits so far
  26      2083        miss      2 hits so far
  27      2187        miss      2 hits so far
  28      1406        miss      2 hits so far
  29      1406        miss      2 hits so far
  30      1822        miss      2 hits so far
