╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff81285000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    134 ns  (line already in cache)
[attacker]   DRAM miss     =   1953 ns  (line not in cache)
[attacker]   Threshold     =   1043 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       3697        miss      0 hits so far  (warmup)
  2       3750        miss      0 hits so far  (warmup)
  3       2812        miss      0 hits so far  (warmup)
  4       1979        miss      0 hits so far  (warmup)
  5       1822        miss      0 hits so far  (warmup)
  6       2187        miss      0 hits so far  (warmup)
  7       1614        miss      0 hits so far  (warmup)
  8       2552        miss      0 hits so far  (warmup)
  9       2343        miss      0 hits so far  (warmup)
  10      2187        miss      0 hits so far  (warmup)
  11      1822        miss      0 hits so far
  12      1718        miss      0 hits so far
  13      2031        miss      0 hits so far
  14      1510        miss      0 hits so far
  15      1406        miss      0 hits so far
  16      1041        HIT ◄   1 hits so far
  17      2760        miss      1 hits so far
  18      1250        miss      1 hits so far
  19      2552        miss      1 hits so far
  20      1666        miss      1 hits so far
  21      1406        miss      1 hits so far
  22      1562        miss      1 hits so far
  23      1302        miss      1 hits so far
  24      677         HIT ◄   2 hits so far
  25      2343        miss      2 hits so far
  26      1458        miss      2 hits so far
  27      1406        miss      2 hits so far
  28      1302        miss      2 hits so far
  29      2135        miss      2 hits so far
  30      3125        miss      2 hits so far
  31      2187        miss      2 hits so far
  32      1302        miss      2 hits so far
  33      4062        miss      2 hits so far
  34      2864        miss      2 hits so far
  35      2135        miss      2 hits so far
  36      1562        miss      2 hits so far
