╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffffbe39b000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    134 ns  (line already in cache)
[attacker]   DRAM miss     =   2419 ns  (line not in cache)
[attacker]   Threshold     =   1276 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       1406        miss      0 hits so far  (warmup)
  2       1666        miss      0 hits so far  (warmup)
  3       1250        HIT ◄   0 hits so far  (warmup)
  4       2395        miss      0 hits so far  (warmup)
  5       2031        miss      0 hits so far  (warmup)
  6       1666        miss      0 hits so far  (warmup)
  7       3281        miss      0 hits so far  (warmup)
  8       3541        miss      0 hits so far  (warmup)
  9       10104       miss      0 hits so far  (warmup)
  10      1302        miss      0 hits so far  (warmup)
  11      1197        HIT ◄   1 hits so far
  12      1614        miss      1 hits so far
  13      1458        miss      1 hits so far
  14      1354        miss      1 hits so far
  15      2239        miss      1 hits so far
  16      1562        miss      1 hits so far
  17      1927        miss      1 hits so far
  18      1770        miss      1 hits so far
  19      1614        miss      1 hits so far
  20      1354        miss      1 hits so far
  21      1197        HIT ◄   2 hits so far
  22      1458        miss      2 hits so far
  23      2812        miss      2 hits so far
  24      1927        miss      2 hits so far
  25      1562        miss      2 hits so far
  26      2083        miss      2 hits so far
  27      1145        HIT ◄   3 hits so far
  28      1562        miss      3 hits so far
  29      1302        miss      3 hits so far
  30      1458        miss      3 hits so far
  31      572         HIT ◄   4 hits so far
  32      2656        miss      4 hits so far
  33      1510        miss      4 hits so far
  34      1406        miss      4 hits so far
  35      1302        miss      4 hits so far
  36      1250        HIT ◄   5 hits so far
  37      1510        miss      5 hits so far
  38      1406        miss      5 hits so far
  39      937         HIT ◄   6 hits so far
  40      3958        miss      6 hits so far
  41      1458        miss      6 hits so far
  42      1093        HIT ◄   7 hits so far
  43      2500        miss      7 hits so far
  44      1406        miss      7 hits so far
  45      1875        miss      7 hits so far
  46      1770        miss      7 hits so far
  47      989         HIT ◄   8 hits so far
  48      2343        miss      8 hits so far
  49      1302        miss      8 hits so far
  50      1979        miss      8 hits so far
  51      1354        miss      8 hits so far
  52      1302        miss      8 hits so far
  53      1302        miss      8 hits so far
