╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff915f8000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    133 ns  (line already in cache)
[attacker]   DRAM miss     =   2428 ns  (line not in cache)
[attacker]   Threshold     =   1280 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2291        miss      0 hits so far  (warmup)
  2       1979        miss      0 hits so far  (warmup)
  3       3437        miss      0 hits so far  (warmup)
  4       2500        miss      0 hits so far  (warmup)
  5       2708        miss      0 hits so far  (warmup)
  6       1666        miss      0 hits so far  (warmup)
  7       1822        miss      0 hits so far  (warmup)
  8       1666        miss      0 hits so far  (warmup)
  9       1302        miss      0 hits so far  (warmup)
  10      1093        HIT ◄   0 hits so far  (warmup)
  11      2447        miss      0 hits so far
  12      2447        miss      0 hits so far
  13      1614        miss      0 hits so far
  14      1614        miss      0 hits so far
  15      9947        miss      0 hits so far
  16      1614        miss      0 hits so far
  17      1718        miss      0 hits so far
  18      1718        miss      0 hits so far
  19      1666        miss      0 hits so far
  20      2552        miss      0 hits so far
  21      1406        miss      0 hits so far
  22      1770        miss      0 hits so far
  23      1822        miss      0 hits so far
  24      2239        miss      0 hits so far
  25      1406        miss      0 hits so far
  26      1510        miss      0 hits so far
  27      1666        miss      0 hits so far
  28      3020        miss      0 hits so far
  29      1250        HIT ◄   1 hits so far
  30      1354        miss      1 hits so far
  31      1406        miss      1 hits so far
  32      1875        miss      1 hits so far
  33      1666        miss      1 hits so far
  34      2500        miss      1 hits so far
  35      1458        miss      1 hits so far
  36      2395        miss      1 hits so far
  37      1354        miss      1 hits so far
  38      1510        miss      1 hits so far
  39      1510        miss      1 hits so far
  40      1458        miss      1 hits so far
  41      1510        miss      1 hits so far
  42      2239        miss      1 hits so far
  43      1510        miss      1 hits so far
  44      2395        miss      1 hits so far
  45      1875        miss      1 hits so far
  46      2083        miss      1 hits so far
  47      2395        miss      1 hits so far
  48      2812        miss      1 hits so far
  49      1770        miss      1 hits so far
  50      1822        miss      1 hits so far
  51      2447        miss      1 hits so far
  52      2656        miss      1 hits so far
  53      2239        miss      1 hits so far
  54      2031        miss      1 hits so far
  55      1718        miss      1 hits so far
  56      1822        miss      1 hits so far
  57      1406        miss      1 hits so far
  58      1718        miss      1 hits so far
  59      1302        miss      1 hits so far
  60      885         HIT ◄   2 hits so far
  61      2708        miss      2 hits so far
  62      1510        miss      2 hits so far
  63      2135        miss      2 hits so far
  64      1718        miss      2 hits so far
  65      1458        miss      2 hits so far
  66      1197        HIT ◄   3 hits so far
  67      1197        HIT ◄   4 hits so far
  68      1666        miss      4 hits so far
  69      2812        miss      4 hits so far
  70      1510        miss      4 hits so far
  71      1250        HIT ◄   5 hits so far
  72      1822        miss      5 hits so far
  73      1927        miss      5 hits so far
  74      2395        miss      5 hits so far
  75      1770        miss      5 hits so far
  76      1406        miss      5 hits so far
  77      2291        miss      5 hits so far
  78      2812        miss      5 hits so far
  79      2604        miss      5 hits so far
  80      3906        miss      5 hits so far
  81      2031        miss      5 hits so far
  82      1406        miss      5 hits so far
  83      1875        miss      5 hits so far
  84      1145        HIT ◄   6 hits so far
  85      2708        miss      6 hits so far
  86      1354        miss      6 hits so far
  87      1354        miss      6 hits so far
  88      1145        HIT ◄   7 hits so far
  89      1979        miss      7 hits so far
  90      1562        miss      7 hits so far
  91      1302        miss      7 hits so far
  92      1406        miss      7 hits so far
  93      2916        miss      7 hits so far
  94      2343        miss      7 hits so far
  95      1510        miss      7 hits so far
  96      1562        miss      7 hits so far
  97      1614        miss      7 hits so far
  98      1354        miss      7 hits so far
  99      1302        miss      7 hits so far
  100     1562        miss      7 hits so far
  101     2604        miss      7 hits so far
  102     2552        miss      7 hits so far
  103     2135        miss      7 hits so far
