╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffffac8f2000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    132 ns  (line already in cache)
[attacker]   DRAM miss     =   2801 ns  (line not in cache)
[attacker]   Threshold     =   1466 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2135        miss      0 hits so far  (warmup)
  2       2135        miss      0 hits so far  (warmup)
  3       2500        miss      0 hits so far  (warmup)
  4       2343        miss      0 hits so far  (warmup)
  5       2343        miss      0 hits so far  (warmup)
  6       1979        miss      0 hits so far  (warmup)
  7       2083        miss      0 hits so far  (warmup)
  8       3072        miss      0 hits so far  (warmup)
  9       1927        miss      0 hits so far  (warmup)
  10      2083        miss      0 hits so far  (warmup)
  11      2500        miss      0 hits so far
  12      1927        miss      0 hits so far
  13      2187        miss      0 hits so far
  14      1979        miss      0 hits so far
  15      1875        miss      0 hits so far
  16      1822        miss      0 hits so far
  17      1510        miss      0 hits so far
  18      1510        miss      0 hits so far
  19      2395        miss      0 hits so far
  20      2135        miss      0 hits so far
  21      1875        miss      0 hits so far
  22      2500        miss      0 hits so far
  23      1666        miss      0 hits so far
  24      1666        miss      0 hits so far
  25      1979        miss      0 hits so far
  26      2031        miss      0 hits so far
  27      2604        miss      0 hits so far
  28      1979        miss      0 hits so far
  29      1875        miss      0 hits so far
  30      1979        miss      0 hits so far
  31      2343        miss      0 hits so far
  32      1562        miss      0 hits so far
  33      1875        miss      0 hits so far
  34      1406        HIT ◄   1 hits so far
  35      2343        miss      1 hits so far
  36      2187        miss      1 hits so far
  37      2031        miss      1 hits so far
  38      2083        miss      1 hits so far
  39      1354        HIT ◄   2 hits so far
  40      1250        HIT ◄   3 hits so far
  41      1822        miss      3 hits so far
  42      1250        HIT ◄   4 hits so far
  43      520         HIT ◄   5 hits so far
  44      2135        miss      5 hits so far
  45      1197        HIT ◄   6 hits so far
  46      1562        miss      6 hits so far
  47      1614        miss      6 hits so far
  48      1562        miss      6 hits so far
  49      1093        HIT ◄   7 hits so far
  50      1979        miss      7 hits so far
  51      729         HIT ◄   8 hits so far
  52      2760        miss      8 hits so far
  53      2447        miss      8 hits so far
  54      1406        HIT ◄   9 hits so far
  55      2239        miss      9 hits so far
  56      1666        miss      9 hits so far
  57      1666        miss      9 hits so far
  58      1822        miss      9 hits so far
  59      989         HIT ◄   10 hits so far
  60      3385        miss      10 hits so far
  61      1666        miss      10 hits so far
  62      2760        miss      10 hits so far
  63      2552        miss      10 hits so far
  64      1822        miss      10 hits so far
  65      1614        miss      10 hits so far
  66      1979        miss      10 hits so far
  67      1458        HIT ◄   11 hits so far
  68      2708        miss      11 hits so far
  69      2031        miss      11 hits so far
  70      1250        HIT ◄   12 hits so far
  71      1354        HIT ◄   13 hits so far
  72      1822        miss      13 hits so far
  73      1875        miss      13 hits so far
  74      1822        miss      13 hits so far
  75      1458        HIT ◄   14 hits so far
