╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff92b88000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    134 ns  (line already in cache)
[attacker]   DRAM miss     =   2245 ns  (line not in cache)
[attacker]   Threshold     =   1189 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2291        miss      0 hits so far  (warmup)
  2       1093        HIT ◄   0 hits so far  (warmup)
  3       5989        miss      0 hits so far  (warmup)
  4       2343        miss      0 hits so far  (warmup)
  5       2500        miss      0 hits so far  (warmup)
  6       2552        miss      0 hits so far  (warmup)
  7       2447        miss      0 hits so far  (warmup)
  8       2343        miss      0 hits so far  (warmup)
  9       2500        miss      0 hits so far  (warmup)
  10      1250        miss      0 hits so far  (warmup)
  11      3072        miss      0 hits so far
  12      2968        miss      0 hits so far
  13      2343        miss      0 hits so far
  14      2656        miss      0 hits so far
  15      2031        miss      0 hits so far
  16      2135        miss      0 hits so far
  17      2447        miss      0 hits so far
  18      1562        miss      0 hits so far
  19      2812        miss      0 hits so far
  20      2291        miss      0 hits so far
  21      1510        miss      0 hits so far
  22      1510        miss      0 hits so far
  23      1770        miss      0 hits so far
  24      1770        miss      0 hits so far
  25      1302        miss      0 hits so far
  26      1979        miss      0 hits so far
  27      2447        miss      0 hits so far
  28      2187        miss      0 hits so far
  29      2187        miss      0 hits so far
  30      3281        miss      0 hits so far
  31      2187        miss      0 hits so far
  32      2239        miss      0 hits so far
  33      2447        miss      0 hits so far
  34      2135        miss      0 hits so far
  35      2135        miss      0 hits so far
  36      2447        miss      0 hits so far
  37      3750        miss      0 hits so far
  38      2395        miss      0 hits so far
  39      2968        miss      0 hits so far
  40      2291        miss      0 hits so far
  41      2447        miss      0 hits so far
  42      2083        miss      0 hits so far
  43      3333        miss      0 hits so far
  44      2864        miss      0 hits so far
  45      2291        miss      0 hits so far
  46      2656        miss      0 hits so far
  47      1927        miss      0 hits so far
  48      1093        HIT ◄   1 hits so far
  49      2291        miss      1 hits so far
  50      1666        miss      1 hits so far
  51      2447        miss      1 hits so far
  52      1250        miss      1 hits so far
  53      1927        miss      1 hits so far
  54      2552        miss      1 hits so far
  55      1718        miss      1 hits so far
  56      2552        miss      1 hits so far
  57      1822        miss      1 hits so far
  58      2083        miss      1 hits so far
  59      2343        miss      1 hits so far
  60      2187        miss      1 hits so far
  61      2395        miss      1 hits so far
  62      2083        miss      1 hits so far
  63      1458        miss      1 hits so far
  64      1093        HIT ◄   2 hits so far
  65      1406        miss      2 hits so far
  66      1458        miss      2 hits so far
  67      781         HIT ◄   3 hits so far
  68      2447        miss      3 hits so far
  69      3020        miss      3 hits so far
  70      52604       miss      3 hits so far
  71      1302        miss      3 hits so far
  72      2083        miss      3 hits so far
  73      1197        miss      3 hits so far
  74      1197        miss      3 hits so far
  75      1041        HIT ◄   4 hits so far
  76      2239        miss      4 hits so far
  77      1354        miss      4 hits so far
  78      1354        miss      4 hits so far
  79      1979        miss      4 hits so far
  80      1406        miss      4 hits so far
  81      1302        miss      4 hits so far
  82      1354        miss      4 hits so far
  83      1354        miss      4 hits so far
  84      2291        miss      4 hits so far
  85      1250        miss      4 hits so far
  86      2447        miss      4 hits so far
  87      1666        miss      4 hits so far
  88      1770        miss      4 hits so far
  89      2864        miss      4 hits so far
  90      1875        miss      4 hits so far
  91      1458        miss      4 hits so far
  92      2343        miss      4 hits so far
  93      2500        miss      4 hits so far
  94      2500        miss      4 hits so far
  95      1250        miss      4 hits so far
  96      1510        miss      4 hits so far
  97      2083        miss      4 hits so far
  98      1458        miss      4 hits so far
  99      937         HIT ◄   5 hits so far
  100     2604        miss      5 hits so far
  101     2135        miss      5 hits so far
  102     1718        miss      5 hits so far
  103     1875        miss      5 hits so far
  104     2187        miss      5 hits so far
