╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff94ea4000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    138 ns  (line already in cache)
[attacker]   DRAM miss     =   1908 ns  (line not in cache)
[attacker]   Threshold     =   1023 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       468         HIT ◄   0 hits so far  (warmup)
  2       520         HIT ◄   0 hits so far  (warmup)
  3       2083        miss      0 hits so far  (warmup)
  4       520         HIT ◄   0 hits so far  (warmup)
  5       729         HIT ◄   0 hits so far  (warmup)
  6       2083        miss      0 hits so far  (warmup)
  7       833         HIT ◄   0 hits so far  (warmup)
  8       520         HIT ◄   0 hits so far  (warmup)
  9       520         HIT ◄   0 hits so far  (warmup)
  10      468         HIT ◄   0 hits so far  (warmup)
  11      3541        miss      0 hits so far
  12      520         HIT ◄   1 hits so far
  13      729         HIT ◄   2 hits so far
  14      520         HIT ◄   3 hits so far
  15      572         HIT ◄   4 hits so far
  16      520         HIT ◄   5 hits so far

[attacker] ★ 5 consecutive cache HITS — victim access confirmed!

  17      625         HIT ◄   6 hits so far
  18      572         HIT ◄   7 hits so far
  19      1927        miss      7 hits so far
  20      625         HIT ◄   8 hits so far
  21      1197        miss      8 hits so far
  22      572         HIT ◄   9 hits so far
  23      520         HIT ◄   10 hits so far
  24      625         HIT ◄   11 hits so far
  25      625         HIT ◄   12 hits so far
  26      468         HIT ◄   13 hits so far
  27      1927        miss      13 hits so far
  28      520         HIT ◄   14 hits so far
  29      468         HIT ◄   15 hits so far
  30      1354        miss      15 hits so far
  31      520         HIT ◄   16 hits so far
  32      625         HIT ◄   17 hits so far
  33      1354        miss      17 hits so far
  34      572         HIT ◄   18 hits so far
  35      3281        miss      18 hits so far
  36      520         HIT ◄   19 hits so far
  37      781         HIT ◄   20 hits so far
  38      520         HIT ◄   21 hits so far
  39      468         HIT ◄   22 hits so far
  40      468         HIT ◄   23 hits so far
  41      677         HIT ◄   24 hits so far
  42      520         HIT ◄   25 hits so far
  43      2083        miss      25 hits so far
  44      468         HIT ◄   26 hits so far
  45      520         HIT ◄   27 hits so far
  46      520         HIT ◄   28 hits so far
  47      520         HIT ◄   29 hits so far
  48      520         HIT ◄   30 hits so far
  49      572         HIT ◄   31 hits so far
  50      520         HIT ◄   32 hits so far
  51      2031        miss      32 hits so far
  52      625         HIT ◄   33 hits so far
  53      520         HIT ◄   34 hits so far
  54      625         HIT ◄   35 hits so far
  55      468         HIT ◄   36 hits so far
  56      468         HIT ◄   37 hits so far
  57      520         HIT ◄   38 hits so far
  58      468         HIT ◄   39 hits so far
  59      1927        miss      39 hits so far
  60      781         HIT ◄   40 hits so far
  61      520         HIT ◄   41 hits so far
  62      520         HIT ◄   42 hits so far
  63      1093        miss      42 hits so far
  64      520         HIT ◄   43 hits so far
  65      1979        miss      43 hits so far
  66      625         HIT ◄   44 hits so far
  67      1927        miss      44 hits so far
  68      520         HIT ◄   45 hits so far
  69      520         HIT ◄   46 hits so far
  70      625         HIT ◄   47 hits so far
  71      520         HIT ◄   48 hits so far
  72      520         HIT ◄   49 hits so far
  73      520         HIT ◄   50 hits so far
  74      520         HIT ◄   51 hits so far
  75      1927        miss      51 hits so far
  76      520         HIT ◄   52 hits so far
  77      729         HIT ◄   53 hits so far
  78      520         HIT ◄   54 hits so far
  79      2031        miss      54 hits so far
  80      1458        miss      54 hits so far
  81      520         HIT ◄   55 hits so far
  82      520         HIT ◄   56 hits so far
  83      468         HIT ◄   57 hits so far
  84      520         HIT ◄   58 hits so far
  85      520         HIT ◄   59 hits so far
  86      468         HIT ◄   60 hits so far
  87      2031        miss      60 hits so far
  88      729         HIT ◄   61 hits so far
  89      677         HIT ◄   62 hits so far
  90      520         HIT ◄   63 hits so far
  91      468         HIT ◄   64 hits so far
  92      520         HIT ◄   65 hits so far
  93      520         HIT ◄   66 hits so far
  94      520         HIT ◄   67 hits so far
  95      1875        miss      67 hits so far
  96      625         HIT ◄   68 hits so far
  97      468         HIT ◄   69 hits so far
  98      468         HIT ◄   70 hits so far
  99      520         HIT ◄   71 hits so far
  100     729         HIT ◄   72 hits so far
  101     520         HIT ◄   73 hits so far
  102     625         HIT ◄   74 hits so far
  103     2135        miss      74 hits so far
  104     729         HIT ◄   75 hits so far
  105     520         HIT ◄   76 hits so far
  106     468         HIT ◄   77 hits so far
  107     677         HIT ◄   78 hits so far
  108     520         HIT ◄   79 hits so far
  109     520         HIT ◄   80 hits so far
  110     520         HIT ◄   81 hits so far
  111     1927        miss      81 hits so far
  112     520         HIT ◄   82 hits so far
  113     625         HIT ◄   83 hits so far
  114     885         HIT ◄   84 hits so far
  115     625         HIT ◄   85 hits so far
  116     572         HIT ◄   86 hits so far
  117     625         HIT ◄   87 hits so far
  118     520         HIT ◄   88 hits so far
