╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff7ff67000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    137 ns  (line already in cache)
[attacker]   DRAM miss     =   1980 ns  (line not in cache)
[attacker]   Threshold     =   1058 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       1822        miss      0 hits so far  (warmup)
  2       2812        miss      0 hits so far  (warmup)
  3       2552        miss      0 hits so far  (warmup)
  4       3958        miss      0 hits so far  (warmup)
  5       2447        miss      0 hits so far  (warmup)
  6       2031        miss      0 hits so far  (warmup)
  7       2343        miss      0 hits so far  (warmup)
  8       1927        miss      0 hits so far  (warmup)
  9       1406        miss      0 hits so far  (warmup)
  10      7031        miss      0 hits so far  (warmup)
  11      3020        miss      0 hits so far
  12      1614        miss      0 hits so far
  13      1510        miss      0 hits so far
  14      1770        miss      0 hits so far
  15      1875        miss      0 hits so far
  16      1979        miss      0 hits so far
  17      2083        miss      0 hits so far
  18      1822        miss      0 hits so far
  19      2395        miss      0 hits so far
  20      2187        miss      0 hits so far
  21      2447        miss      0 hits so far
  22      1770        miss      0 hits so far
  23      2291        miss      0 hits so far
  24      1458        miss      0 hits so far
  25      2083        miss      0 hits so far
  26      1875        miss      0 hits so far
  27      2187        miss      0 hits so far
  28      2395        miss      0 hits so far
  29      1979        miss      0 hits so far
  30      2187        miss      0 hits so far
  31      1354        miss      0 hits so far
  32      1354        miss      0 hits so far
  33      1302        miss      0 hits so far
  34      1770        miss      0 hits so far
  35      2395        miss      0 hits so far
  36      1979        miss      0 hits so far
  37      1875        miss      0 hits so far
  38      2239        miss      0 hits so far
  39      2291        miss      0 hits so far
  40      1822        miss      0 hits so far
  41      1927        miss      0 hits so far
  42      2083        miss      0 hits so far
  43      3229        miss      0 hits so far
  44      1822        miss      0 hits so far
  45      1927        miss      0 hits so far
  46      1718        miss      0 hits so far
  47      1875        miss      0 hits so far
  48      2239        miss      0 hits so far
  49      1927        miss      0 hits so far
  50      2135        miss      0 hits so far
  51      1458        miss      0 hits so far
  52      2500        miss      0 hits so far
  53      1406        miss      0 hits so far
  54      2083        miss      0 hits so far
  55      1927        miss      0 hits so far
  56      1510        miss      0 hits so far
  57      1666        miss      0 hits so far
  58      1770        miss      0 hits so far
  59      729         HIT ◄   1 hits so far
  60      2760        miss      1 hits so far
  61      1927        miss      1 hits so far
  62      2187        miss      1 hits so far
  63      2031        miss      1 hits so far
  64      1718        miss      1 hits so far
  65      2031        miss      1 hits so far
  66      1666        miss      1 hits so far
  67      1562        miss      1 hits so far
  68      2343        miss      1 hits so far
  69      2187        miss      1 hits so far
  70      2552        miss      1 hits so far
  71      2083        miss      1 hits so far
  72      1875        miss      1 hits so far
  73      1979        miss      1 hits so far
  74      1770        miss      1 hits so far
  75      1458        miss      1 hits so far
  76      2447        miss      1 hits so far
  77      1875        miss      1 hits so far
  78      1979        miss      1 hits so far
  79      1979        miss      1 hits so far
  80      1562        miss      1 hits so far
  81      1875        miss      1 hits so far
  82      1562        miss      1 hits so far
  83      1406        miss      1 hits so far
  84      2395        miss      1 hits so far
  85      3125        miss      1 hits so far
  86      1666        miss      1 hits so far
  87      1093        miss      1 hits so far
  88      1666        miss      1 hits so far
  89      2187        miss      1 hits so far
  90      1927        miss      1 hits so far
  91      1458        miss      1 hits so far
  92      2239        miss      1 hits so far
  93      2187        miss      1 hits so far
  94      2187        miss      1 hits so far
  95      3333        miss      1 hits so far
  96      1614        miss      1 hits so far
  97      1250        miss      1 hits so far
  98      1197        miss      1 hits so far
  99      1510        miss      1 hits so far
  100     2552        miss      1 hits so far
  101     2343        miss      1 hits so far
  102     7812        miss      1 hits so far
  103     1770        miss      1 hits so far
  104     1770        miss      1 hits so far
  105     1822        miss      1 hits so far
  106     1770        miss      1 hits so far
  107     1979        miss      1 hits so far
  108     2343        miss      1 hits so far
  109     1927        miss      1 hits so far
  110     1718        miss      1 hits so far
  111     1197        miss      1 hits so far
  112     1510        miss      1 hits so far
  113     1458        miss      1 hits so far
  114     1406        miss      1 hits so far
  115     1093        miss      1 hits so far
  116     4062        miss      1 hits so far
