╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff9dec0000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    135 ns  (line already in cache)
[attacker]   DRAM miss     =   2019 ns  (line not in cache)
[attacker]   Threshold     =   1077 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2656        miss      0 hits so far  (warmup)
  2       2031        miss      0 hits so far  (warmup)
  3       2343        miss      0 hits so far  (warmup)
  4       1197        miss      0 hits so far  (warmup)
  5       1718        miss      0 hits so far  (warmup)
  6       2135        miss      0 hits so far  (warmup)
  7       1354        miss      0 hits so far  (warmup)
  8       1458        miss      0 hits so far  (warmup)
  9       1927        miss      0 hits so far  (warmup)
  10      1562        miss      0 hits so far  (warmup)
  11      2656        miss      0 hits so far
  12      3281        miss      0 hits so far
  13      1927        miss      0 hits so far
  14      2031        miss      0 hits so far
  15      2135        miss      0 hits so far
  16      2031        miss      0 hits so far
  17      1718        miss      0 hits so far
  18      1302        miss      0 hits so far
  19      2500        miss      0 hits so far
  20      1562        miss      0 hits so far
  21      1458        miss      0 hits so far
  22      1510        miss      0 hits so far
  23      2447        miss      0 hits so far
  24      1458        miss      0 hits so far
  25      1979        miss      0 hits so far
  26      2500        miss      0 hits so far
  27      2447        miss      0 hits so far
  28      2083        miss      0 hits so far
  29      3177        miss      0 hits so far
  30      1927        miss      0 hits so far
  31      2291        miss      0 hits so far
  32      2187        miss      0 hits so far
  33      3385        miss      0 hits so far
  34      1822        miss      0 hits so far
  35      2291        miss      0 hits so far
  36      1666        miss      0 hits so far
  37      1145        miss      0 hits so far
  38      1718        miss      0 hits so far
  39      1666        miss      0 hits so far
  40      2395        miss      0 hits so far
  41      1979        miss      0 hits so far
  42      1979        miss      0 hits so far
  43      1093        miss      0 hits so far
  44      3229        miss      0 hits so far
  45      1302        miss      0 hits so far
  46      2656        miss      0 hits so far
  47      2291        miss      0 hits so far
  48      1302        miss      0 hits so far
  49      1041        HIT ◄   1 hits so far
  50      1197        miss      1 hits so far
  51      1354        miss      1 hits so far
  52      2239        miss      1 hits so far
  53      1927        miss      1 hits so far
  54      1145        miss      1 hits so far
  55      1510        miss      1 hits so far
  56      1250        miss      1 hits so far
  57      1406        miss      1 hits so far
  58      1354        miss      1 hits so far
  59      1250        miss      1 hits so far
  60      3958        miss      1 hits so far
  61      1614        miss      1 hits so far
  62      1354        miss      1 hits so far
  63      1197        miss      1 hits so far
  64      1354        miss      1 hits so far
  65      1145        miss      1 hits so far
  66      1302        miss      1 hits so far
  67      1250        miss      1 hits so far
  68      3489        miss      1 hits so far
  69      2343        miss      1 hits so far
  70      2135        miss      1 hits so far
  71      1770        miss      1 hits so far
  72      1770        miss      1 hits so far
  73      2291        miss      1 hits so far
  74      2031        miss      1 hits so far
  75      1562        miss      1 hits so far
  76      2552        miss      1 hits so far
  77      1770        miss      1 hits so far
  78      2968        miss      1 hits so far
  79      1875        miss      1 hits so far
  80      1927        miss      1 hits so far
  81      1770        miss      1 hits so far
  82      2343        miss      1 hits so far
  83      2031        miss      1 hits so far
  84      3385        miss      1 hits so far
  85      2656        miss      1 hits so far
  86      2447        miss      1 hits so far
  87      2500        miss      1 hits so far
  88      1302        miss      1 hits so far
  89      1614        miss      1 hits so far
  90      1041        HIT ◄   2 hits so far
  91      1302        miss      2 hits so far
  92      2291        miss      2 hits so far
  93      1406        miss      2 hits so far
  94      1145        miss      2 hits so far
  95      1302        miss      2 hits so far
  96      1979        miss      2 hits so far
  97      1302        miss      2 hits so far
  98      1302        miss      2 hits so far
  99      1302        miss      2 hits so far
