╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffffbb8a8000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    134 ns  (line already in cache)
[attacker]   DRAM miss     =   2535 ns  (line not in cache)
[attacker]   Threshold     =   1334 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       1562        miss      0 hits so far  (warmup)
  2       2708        miss      0 hits so far  (warmup)
  3       2604        miss      0 hits so far  (warmup)
  4       3333        miss      0 hits so far  (warmup)
  5       2135        miss      0 hits so far  (warmup)
  6       2343        miss      0 hits so far  (warmup)
  7       1927        miss      0 hits so far  (warmup)
  8       2447        miss      0 hits so far  (warmup)
  9       63020       miss      0 hits so far  (warmup)
  10      1562        miss      0 hits so far  (warmup)
  11      2552        miss      0 hits so far
  12      2135        miss      0 hits so far
  13      3229        miss      0 hits so far
  14      2187        miss      0 hits so far
  15      1770        miss      0 hits so far
  16      2187        miss      0 hits so far
  17      2968        miss      0 hits so far
  18      1822        miss      0 hits so far
  19      2343        miss      0 hits so far
  20      2552        miss      0 hits so far
  21      2395        miss      0 hits so far
  22      2447        miss      0 hits so far
  23      1822        miss      0 hits so far
  24      1458        miss      0 hits so far
  25      2604        miss      0 hits so far
  26      1458        miss      0 hits so far
  27      2395        miss      0 hits so far
  28      2031        miss      0 hits so far
  29      2239        miss      0 hits so far
  30      2552        miss      0 hits so far
  31      1354        miss      0 hits so far
  32      2083        miss      0 hits so far
  33      1666        miss      0 hits so far
  34      1458        miss      0 hits so far
  35      3385        miss      0 hits so far
  36      3229        miss      0 hits so far
  37      1197        HIT ◄   1 hits so far
  38      1718        miss      1 hits so far
  39      1354        miss      1 hits so far
  40      1562        miss      1 hits so far
  41      1614        miss      1 hits so far
  42      1875        miss      1 hits so far
  43      1302        HIT ◄   2 hits so far
  44      3541        miss      2 hits so far
  45      1614        miss      2 hits so far
  46      1666        miss      2 hits so far
  47      1250        HIT ◄   3 hits so far
  48      1197        HIT ◄   4 hits so far
  49      2291        miss      4 hits so far
  50      1145        HIT ◄   5 hits so far
  51      1406        miss      5 hits so far
  52      2447        miss      5 hits so far
  53      1510        miss      5 hits so far
  54      2031        miss      5 hits so far
  55      1510        miss      5 hits so far
