═══════════════════════════════════════════
  Prime+Probe — RPi3 Cortex-A53
═══════════════════════════════════════════
Cache:         512KB, 16-way, 512 sets
Set stride:    32768 B
Buffer:        544 KB
Monitored sets:32
Threshold:     180 ns
Rounds:        500

[+] Buffer: 544KB at 0xffffb3948000
[+] HPC counters active on core 1

Round,Evicted_Sets,HPC_Misses,HPC_Refs,Miss_Rate_Pct,Cycles,Instructions,Avg_Probe_ns,Status
0,0,228,17849,1.28,88538,32989,84,NORMAL
1,0,416,243949,0.17,1719175,1359462,78,NORMAL
2,0,433,218596,0.20,1477625,1178984,76,NORMAL
3,0,321,209955,0.15,1428407,1150521,83,NORMAL
4,0,612,188229,0.33,1412229,1040653,78,NORMAL
5,0,423,216358,0.20,1468469,1181332,79,NORMAL
6,0,335,208063,0.16,1415382,1136909,79,NORMAL
7,0,327,208626,0.16,1413765,1146333,76,NORMAL
8,0,554,205840,0.27,1429361,1126439,78,NORMAL
9,0,357,210144,0.17,1428028,1134444,76,NORMAL
10,0,269,208016,0.13,1414057,1142051,79,NORMAL
11,0,264,209334,0.13,1419906,1142419,83,NORMAL
12,0,585,193230,0.30,1413542,1072970,76,NORMAL
13,0,523,209150,0.25,1413364,1130771,84,NORMAL
14,0,645,212764,0.30,1419934,1126026,78,NORMAL
15,0,417,207696,0.20,1413757,1133713,76,NORMAL
16,0,397,202870,0.20,1413921,1117511,78,NORMAL
17,0,301,208000,0.14,1412242,1139155,76,NORMAL
18,0,293,208729,0.14,1416953,1141242,74,NORMAL
19,0,428,213084,0.20,1437454,1160325,83,NORMAL
20,0,702,194828,0.36,1422170,1071174,84,NORMAL
21,0,333,208305,0.16,1412711,1136861,78,NORMAL
22,0,306,208446,0.15,1419956,1144740,79,NORMAL
23,0,690,213595,0.32,1412428,1126527,76,NORMAL
24,0,581,204102,0.28,1414249,1111287,81,NORMAL
25,0,262,208969,0.13,1419042,1141567,82,NORMAL
26,1,300,207878,0.14,1411883,1135714,76,NORMAL
27,0,379,197038,0.19,1413240,1100517,78,NORMAL
28,0,549,204831,0.27,1412649,1111564,83,NORMAL
29,0,348,208023,0.17,1412736,1135235,76,NORMAL
30,0,421,211784,0.20,1435733,1154242,78,NORMAL
31,0,734,210705,0.35,1419597,1112677,71,NORMAL
32,0,371,206822,0.18,1412143,1136699,79,NORMAL
33,0,303,209105,0.14,1419373,1141416,78,NORMAL
34,0,288,208090,0.14,1412093,1136272,74,NORMAL
35,0,737,198456,0.37,1434152,1088272,73,NORMAL
36,0,382,208189,0.18,1420407,1143378,78,NORMAL
37,0,353,208037,0.17,1413061,1136240,86,NORMAL
38,0,271,208445,0.13,1412679,1137213,78,NORMAL
39,0,352,202662,0.17,1412607,1118781,78,NORMAL
40,0,680,213859,0.32,1412564,1128195,86,NORMAL
41,0,537,212253,0.25,1435142,1148334,73,NORMAL
42,0,335,209033,0.16,1419041,1139587,84,NORMAL
43,0,643,193968,0.33,1413390,1074301,79,NORMAL
44,0,338,208412,0.16,1419476,1144555,73,NORMAL
45,0,293,208058,0.14,1412735,1136470,81,NORMAL
46,0,470,214168,0.22,1446836,1162290,73,NORMAL
47,0,381,204226,0.19,1421593,1123518,78,NORMAL
48,0,345,211772,0.16,1441539,1159410,76,NORMAL
49,0,285,208651,0.14,1415064,1137241,74,NORMAL
50,0,289,209164,0.14,1421193,1144880,81,NORMAL
