═══════════════════════════════════════════
  Prime+Probe — RPi3 Cortex-A53
═══════════════════════════════════════════
Cache:         512KB, 16-way, 512 sets
Set stride:    32768 B
Buffer:        544 KB
Monitored sets:32
Threshold:     180 ns
Rounds:        500

[+] Buffer: 544KB at 0xffffa6088000
[+] HPC counters active on core 1

Round,Evicted_Sets,HPC_Misses,HPC_Refs,Miss_Rate_Pct,Cycles,Instructions,Avg_Probe_ns,Status
0,2,145,9319,1.56,30551,19398,92,NORMAL
1,0,463,41164,1.12,212301,115322,86,NORMAL
2,1,127,13034,0.97,59022,36027,91,NORMAL
3,1,57,11043,0.52,44524,30452,275,NORMAL
4,0,46,16709,0.28,80108,50363,84,NORMAL
5,0,447,22216,2.01,97887,57786,87,NORMAL
6,0,95,11467,0.83,47282,31320,86,NORMAL
7,0,64,13418,0.48,55329,36801,86,NORMAL
8,1,46,11438,0.40,46723,31305,273,NORMAL
9,0,43,16529,0.26,89146,48870,143,NORMAL
10,0,633,24660,2.57,134777,69574,122,NORMAL
11,1,331,24737,1.34,115401,65464,118,NORMAL
12,1,63,12284,0.51,49463,33905,148,NORMAL
13,1,83,14543,0.57,59336,40364,135,NORMAL
14,0,81,13291,0.61,55899,36737,136,NORMAL
15,1,51,11041,0.46,43837,30458,128,NORMAL
16,0,52,13011,0.40,64755,45892,113,NORMAL
17,1,61,14532,0.42,50136,33894,149,NORMAL
18,1,66,12294,0.54,44031,30463,141,NORMAL
19,10,47,13023,0.36,52243,35993,177,SUSPICIOUS
20,1,1573,96471,1.63,519592,274618,117,NORMAL
21,0,93,12297,0.76,50878,33920,122,NORMAL
22,1,63,11027,0.57,44058,30454,128,NORMAL
23,1,51,17663,0.29,79433,52072,133,NORMAL
24,1,241,12270,1.96,44536,30469,148,NORMAL
25,1,57,13020,0.44,52484,35986,140,NORMAL
26,1,49,11044,0.44,44068,30470,123,NORMAL
27,1,55,12295,0.45,49945,33906,118,NORMAL
28,1,47,12311,0.38,49477,33915,135,NORMAL
29,1,56,11043,0.51,43771,30470,128,NORMAL
30,0,51,15797,0.32,62579,43803,118,NORMAL
31,0,61,11056,0.55,43981,30479,128,NORMAL
32,0,58,13014,0.45,52173,35987,151,NORMAL
33,1,42,11033,0.38,43728,30460,128,NORMAL
34,0,55,13017,0.42,52259,35984,151,NORMAL
35,0,46,11032,0.42,49321,33896,156,NORMAL
36,1,55,12299,0.45,43980,30469,146,NORMAL
37,1,52,13024,0.40,64920,45905,135,NORMAL
38,1,65,14548,0.45,43968,30470,115,NORMAL
39,4,57,13020,0.44,51779,35984,128,NORMAL
40,1,948,73784,1.28,367167,217876,143,NORMAL
41,1,561,25907,2.17,114307,65643,135,NORMAL
42,1,104,11439,0.91,47604,31298,143,NORMAL
43,0,70,13408,0.52,54608,36835,123,NORMAL
44,1,82,14949,0.55,66998,44635,157,NORMAL
45,0,83,12712,0.65,46534,31311,136,NORMAL
46,1,76,13426,0.57,54633,36825,144,NORMAL
47,1,51,11480,0.44,46062,31408,118,NORMAL
48,1,521,25156,2.07,128173,69665,138,NORMAL
49,1,108,11454,0.94,47580,31301,125,NORMAL
50,1,76,13411,0.57,54710,36812,112,NORMAL
51,1,79,14395,0.55,63751,43055,140,NORMAL
52,1,75,12702,0.59,46516,31287,123,NORMAL
53,1,60,13423,0.45,54161,36824,115,NORMAL
54,1,56,11450,0.49,45709,31301,146,NORMAL
55,2,65,13413,0.48,54299,36803,130,NORMAL
56,1,70,11439,0.61,45961,31301,149,NORMAL
57,1,68,13415,0.51,54132,36812,141,NORMAL
58,0,53,14949,0.35,59177,41259,156,NORMAL
59,1,459,25105,1.83,117262,69384,148,NORMAL
60,2,506,38399,1.32,171605,109493,122,NORMAL
61,0,1061,60296,1.76,301023,171500,151,NORMAL
62,0,76,11038,0.69,44421,30465,151,NORMAL
63,1,69,12706,0.54,53341,34968,118,NORMAL
